formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
EuIn2S4,809,2.11,32.14285714,1.278571429,72.84071429,1339.978571,2.614285714,1.258571429,3330.857143,4.02,5.265728571,499.7785714,75.28571429,0.056357143,24.46481429,2.008571429,7.142857143,13,3.428571429,0,111.8571429,2.154285714,4,1.777142857,3.571428571,5.857142857,4.714285714,13.28571429,254.2857143,3.23,92.24285714,1.278571429,1.285714286,2.411428571,4.714285714,4.285714286,8.385714286,0.497142857,25.45428571,2.857142857,1,2.571428571,2,5663,14.77,225,8.95,509.885,9379.85,18.3,8.81,23316,28.14,36.8601,3498.45,527,0.3945,171.2537,14.06,50,91,24,0,783,15.08,28,12.44,25,41,33,93,1780,22.61,645.7,8.95,9,16.88,33,30,58.7,3.48,178.18,20,7,18,14,453,1.5,47,1.43,119.895,1635.3,0.99,0.83,5416,5.24,1.62,709.2,63,0.0255,4.5837,1.43,10,7,4,0,101.6,1.38,3,2.84,6,4,3,13,101,7.49,221.7,0.85,2,1.44,3,4,24.8,0.53,81.33,10,7,4,0,1.5
CdIn30Te46,747.8181818,1.956883117,50.77922078,1.363506494,122.4235065,1684.783766,2.305194805,1.386753247,4051.87013,6.688181818,4.948831169,606.862987,83.8961039,0.054285714,25.87103896,1.853636364,0,14,3.220779221,0,121.7532468,1.97,5,1.825194805,2.779220779,5.584415584,4.766233766,14.77922078,213.8181818,11.79909091,122.8814286,1.46038961,0.987012987,2.592727273,4.909090909,2,7.158441558,0.212077922,34.45324675,10,0,2.779220779,2,57582,150.68,3910,104.99,9426.61,129728.35,177.5,106.78,311994,514.99,381.06,46728.45,6460,4.18,1992.07,142.73,0,1078,248,0,9375,151.69,385,140.54,214,430,367,1138,16464,908.53,9461.87,112.45,76,199.64,378,154,551.2,16.33,2652.9,770,0,214,154,311,0.64,4,0.38,15.19,1315,1.36,0.13,4401,2.41,1.52,292.9,20,0.03,0.89,0.63,0,0,4,0,27.1,0.41,0,0.55,4,2,5,4,131,14.23,178.95,0.15,1,2.44,9,0,4.2,0.03,94.45,0,0,4,0,1.17
Cu3VS4,860.75,2.18,21.75,1.1975,46.23375,1880.625,3.3975,1.18375,3431.125,5.15875,4.6975,971.925,73.75,0.0975,23.56125,1.97,5.875,14,4,0.375,102.675,2.20625,3.5,1.61875,2.375,5.5,4.125,12.75,330.5,8.36625,174.1375,1.175,1.5,3.665,7.75,3.625,5.5125,0.55875,154.3475,4.125,0,2,1.625,6886,17.44,174,9.58,369.87,15045,27.18,9.47,27449,41.27,37.58,7775.4,590,0.78,188.49,15.76,47,112,32,3,821.4,17.65,28,12.95,19,44,33,102,2644,66.93,1393.1,9.4,12,29.32,62,29,44.1,4.47,1234.78,33,0,16,13,349,1.06,13,0.83,31.48,2935.3,2.46,0.36,4616,6.89,2.65,1777.2,42,0.08,2.19,1.22,10,0,4,1,59.1,0.95,1,1.33,4,3,4,11,235,19.18,443.2,0.35,1,3.44,6,5,9.5,0.33,400.73,10,0,4,1,1
NaGe3P3,831.1428571,1.941428571,21.71428571,1.227142857,47.67571429,1732.15,3.278571429,1.197142857,4393.571429,3.198571429,4.477142857,712.05,69.71428571,0.061428571,24.22142857,1.862857143,10,14,3.857142857,0.142857143,110.5714286,1.932857143,3.428571429,1.578571429,2.285714286,5.714285714,4,12.57142857,312.1428571,16.48571429,160.8642857,1.221428571,0.857142857,3.142857143,4,4,7.528571429,0.642857143,45.91714286,0,0,2.142857143,1.857142857,5818,13.59,152,8.59,333.73,12125.05,22.95,8.38,30755,22.39,31.34,4984.35,488,0.43,169.55,13.04,70,98,27,1,774,13.53,24,11.05,16,40,28,88,2185,115.4,1126.05,8.55,6,22,28,28,52.7,4.5,321.42,0,0,15,13,516,1.38,21,0.92,49.62,2550,2.74,0.48,7406,4.35,2.42,903.3,81,0.03,5.04,1.27,0,0,3,1,79.4,1.26,1,1.41,2,6,4,14,268,36.28,318.77,0.8,1,3,4,4,20,0.91,140.76,0,0,3,1,2.06
CsDy9Cd4Se18,810.71875,1.8840625,45.40625,1.515,108.3228125,1496.9625,2.40875,1.355,3567.625,6.23875,5.37914375,833.3375,67.6875,0.05885625,26.21203125,1.811875,8.75,11.1875,3.75,0.03125,123.525,2.0134375,4.75,2.17,2.28125,5.3125,4.375,11.375,226,7.7128125,100.485,1.4140625,1.40625,2.555,5.75,4.21875,11.790625,0.2640625,16.52375,1.25,2.8125,2.25,1.96875,25943,60.29,1453,48.48,3466.33,47902.8,77.08,43.36,114164,199.64,172.1326,26666.8,2166,1.8834,838.785,57.98,280,358,120,1,3952.8,64.43,152,69.44,73,170,140,364,7232,246.81,3215.52,45.25,45,81.76,184,135,377.3,8.45,528.76,40,90,72,63,565,1.77,32,1.95,83.54,1898,2.24,1.09,5883,6.78,1.84,1383.6,84,0.07,6.63,1.52,10,10,4,1,160,1.76,2,3.02,4,6,5,15,212,8.97,192.4,1.45,3,3.44,11,5,55.8,0.15,96.28,10,10,4,1,1.99
Hg0.77Cd0.23Te,922.015,1.9324,62.32,1.4585,153.9543,993.47,1.48635,1.41885,2172.875,9.31225,6.3458565,519.827,80.385,0.0601105,26.46732385,1.79965,0,8.61,4,0,112.517,2.01435,5.385,2.01815,2,5,3.5,14,134.865,10.340425,60.528715,1.45575,1.27,3.22,9,2,5.657,0.179965,15.5179,10,5.39,2,2,1844.03,3.8648,124.64,2.917,307.9086,1986.94,2.9727,2.8377,4345.75,18.6245,12.691713,1039.654,160.77,0.120221,52.9346477,3.5993,0,17.22,8,0,225.034,4.0287,10.77,4.0363,4,10,7,28,269.73,20.68085,121.05743,2.9115,2.54,6.44,18,4,11.314,0.35993,31.0358,20,10.78,4,4,139,0.64,32,0.48,88.18,632.8,1.52,0.14,1225,7.26,4.3269,488.4,20,0.03,2.36201,0.63,0,14,4,0,7.3,0.41,1,0.74,4,2,5,4,136,15.195,47.02,0.15,2,2.44,6,0,1.8,0.091,94.45,0,14,4,0,0.165
In4S5,803.5555556,2.176666667,30.66666667,1.182222222,68.84777778,1444.65,2.703333333,1.206666667,3721.111111,4.398888889,5.13,405.4166667,82.22222222,0.06,24.38777778,2.058888889,5.555555556,14,3.333333333,0,106.4222222,2.224444444,3.888888889,1.522222222,2.666666667,6.111111111,4.666666667,14.66666667,263,2.404444444,108.3333333,1.244444444,1,2.64,4.666666667,4.222222222,5.922222222,0.496666667,36.41666667,4.444444444,0,2.666666667,2,7232,19.59,276,10.64,619.63,13001.85,24.33,10.86,33490,39.59,46.17,3648.75,740,0.54,219.49,18.53,50,126,30,0,957.8,20.02,35,13.7,24,55,42,132,2367,21.64,975,11.2,9,23.76,42,38,53.3,4.47,327.75,40,0,24,18,442,0.93,33,0.68,82.75,1635.3,0.33,0.42,5416,5.24,1.62,43.8,13,0,3.64,0.97,10,0,3,0,57.2,0.8,2,0.95,3,2,3,3,36,1.54,221.7,0.55,0,1.44,3,4,6.8,0.48,81.33,10,0,3,0,0.9
BaGa2Se4,775,2.017142857,36.28571429,1.338571429,84.65857143,1585.435714,2.48,1.305714286,3648.285714,4.922857143,5.121428571,509.2357143,73.28571429,0.061428571,25.81285714,1.905714286,10,14,3.428571429,0,117.7142857,2.101428571,4.285714286,1.708571429,2.857142857,5.714285714,4.571428571,13.14285714,237.1428571,6.527142857,115.7428571,1.335714286,0.857142857,2.411428571,4.571428571,4.571428571,10.15714286,0.317142857,14.52571429,0,0,2.571428571,2,5425,14.12,254,9.37,592.61,11098.05,17.36,9.14,25538,34.46,35.85,3564.65,513,0.43,180.69,13.34,70,98,24,0,824,14.71,30,11.96,20,40,32,92,1660,45.69,810.2,9.35,6,16.88,32,32,71.1,2.22,101.68,0,0,18,14,438,1.55,25,1.5,67.61,1718,0.91,0.82,5863,2.4,1.59,695.2,80,0.05,2.74,1.33,0,0,4,0,114.2,1.66,2,2.11,3,5,4,14,106,2.16,221,1,1,1.44,4,4,35.9,0.17,40.08,0,0,4,0,3.163
Ce2Sn3Se9,833.1428571,2.107857143,40.85714286,1.237142857,96.215,1665.221429,2.871428571,1.283571429,3860,5.597142857,5.339285714,576.3642857,76.5,0.058571429,25.82285714,1.999285714,7.714285714,13.85714286,3,0,113.8428571,2.219285714,4.5,1.875,3.142857143,6,5.142857143,13.71428571,270.5,6.587142857,146.7642857,1.314285714,1.285714286,2.6,5.142857143,4.571428571,8.321428571,0.282142857,16.23428571,2.285714286,0.142857143,3,2,11664,29.51,572,17.32,1347.01,23313.1,40.2,17.97,54040,78.36,74.75,8069.1,1071,0.82,361.52,27.99,108,194,42,0,1593.8,31.07,63,26.25,44,84,72,192,3787,92.22,2054.7,18.4,18,36.4,72,64,116.5,3.95,227.28,32,2,42,28,407,1.34,24,0.82,61.16,2572,1.86,0.49,8643,2.52,1.19,581,74,0.01,1.68,1.26,10,1,4,0,106,1.43,2,3.21,3,4,3,13,192,1.57,376.3,0.7,2,2,3,4,25.8,0.13,66.08,10,1,4,0,0.3
Ag2O,925.3333333,2.45,34,1.26,77.24666667,1686.816667,2.84,1.263333333,5038.193333,7,5.356666667,841.6833333,72.33333333,0.066666667,21.80666667,2.173333333,3.333333333,14,4.666666667,0.666666667,100.7333333,2.433333333,4,1.743333333,1.333333333,5,3.333333333,12.66666667,272.3333333,7.606666667,168.19,1.266666667,0.333333333,3.626666667,9.333333333,2.666666667,5.53,0.466666667,286.01,6.666666667,0,1.333333333,1.333333333,2776,7.35,102,3.78,231.74,5060.45,8.52,3.79,15114.58,21,16.07,2525.05,217,0.2,65.42,6.52,10,42,14,2,302.2,7.3,12,5.23,4,15,10,38,817,22.82,504.57,3.8,1,10.88,28,8,16.59,1.4,858.03,20,0,4,4,583,1.74,39,1.17,91.87,2395,0.33,0.8,7325.42,10.5,4.52,1180.4,22,0.1,10.63,2.17,10,0,4,1,83.6,1.51,3,1.91,4,3,4,5,35,11.08,247.17,1,1,5.44,5,5,7.11,0.68,428.97,10,0,4,1,1.5324
CuIn5S8,823.9285714,2.205,28.71428571,1.163571429,63.87214286,1453.478571,2.777857143,1.195714286,3541.642857,4.433571429,5.115,470.8928571,81.64285714,0.065714286,24.16857143,2.073571429,5.714285714,14,3.357142857,0.071428571,104.15,2.245714286,3.785714286,1.506428571,2.642857143,6.071428571,4.642857143,14.57142857,270.3571429,3.079285714,109.7285714,1.221428571,1.071428571,2.76,5.285714286,4.214285714,5.6,0.515,57.94,4.285714286,0,2.642857143,1.928571429,11535,30.87,402,16.29,894.21,20348.7,38.89,16.74,49583,62.07,71.61,6592.5,1143,0.92,338.36,29.03,80,196,47,1,1458.1,31.44,53,21.09,37,85,65,204,3785,43.11,1536.2,17.1,15,38.64,74,59,78.4,7.21,811.16,60,0,37,27,442,0.93,33,0.68,82.75,2122.3,0.97,0.42,5416,6.89,2.19,970.2,24,0.08,3.64,0.98,10,0,4,1,57.2,0.8,2,0.95,4,3,4,5,95,11.33,290.5,0.55,1,3.44,8,5,6.8,0.48,400.73,10,0,4,1,1.34
