avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_abs_valence,avg_metallic_valence,avg_valence_d,sum_Density_(g/mL),sum_heat_atomization(kJ/mol),sum_valence_d,range_Density_(g/mL),range_Nagle_electonegativity,range_heat_of_fusion_(kJ/mol)_,target
10.95333333,6.020266667,7.0,5.0,3.926666667,3.0,32.86,1169.0,9.0,15.67,0.62,8.1,0.616666667
5.354615385,4.835384615,3.846153846,2.923076923,2.461538462,6.153846154,69.61,2957.0,80.0,5.83,1.47,17.54,1.31
2.938695652,4.975217391,9.304347826,2.869565217,2.540869565,0.695652174,67.59,7479.0,16.0,5.06,1.38,48.83,2.38
4.83562,4.5671,10.0,2.0,4.0,0.0,4.83562,389.15,0.0,2.99,0.06,13.61,1.319
4.64,4.81,8.166666667,2.333333333,2.406666667,1.833333333,27.84,1314.0,11.0,5.26,1.52,9.31,2.35
4.178666667,5.139333333,7.333333333,2.8,2.725333333,2.666666667,125.36,7888.0,80.0,8.43,1.51,9.58,2.37
5.1025,4.8975,5.0,2.25,3.22,5.0,20.41,1139.0,20.0,6.89,0.98,11.33,1.536333333
3.382222222,7.186437037,5.925925926,3.259259259,1.377777778,4.074074074,91.32,6302.0,110.0,13.5,2.11,17.27,2.56
2.488421053,7.242147368,8.947368421,3.684210526,0.888421053,1.052631579,47.28,4665.0,20.0,11.4,1.86,36.72,4.1
5.837142857,5.5023,10.0,5.857142857,2.285714286,0.0,40.86,1864.0,0.0,3.44,1.25,4.11,2.0
5.37125,5.46,6.25,3.5,2.18,3.75,42.97,1787.0,30.0,4.19,1.04,16.61,1.35
2.47125,5.778125,9.6875,2.041666667,3.0625,0.3125,118.62,22694.0,15.0,6.66,2.07,49.84,3.5
4.914545455,5.339090909,9.090909091,3.090909091,2.161818182,0.909090909,54.06,2352.0,10.0,10.13,1.52,15.51,1.5
2.040833333,7.100833333,8.083333333,3.666666667,1.036666667,1.916666667,24.49,3186.0,23.0,6.24,2.35,20.68,3.0
4.621666667,4.479733333,8.0,2.5,2.74,2.0,27.73,1841.0,12.0,10.84,1.65,14.38,2.95
2.884285714,4.588571429,9.857142857,1.0,3.0,0.142857143,20.19,3861.0,1.0,3.81,0.98,44.0,4.1
5.456,4.646,7.0,2.0,3.22,3.0,10.912,567.4,6.0,5.49,0.7,27.04,1.25
4.08625,4.73375,8.75,2.5,2.305,1.25,32.69,1738.0,10.0,6.59,1.37,33.94,1.86
4.543571429,5.128571429,5.714285714,2.642857143,2.76,4.285714286,63.61,3731.0,60.0,8.43,1.04,9.58,1.76
2.659,6.88038,9.6,3.2,1.2,0.4,26.59,3014.0,4.0,16.6,2.64,31.38,4.19
4.868148148,4.483259259,10.0,1.703703704,3.472592593,0.0,262.88,17294.0,0.0,4.93,1.02,34.85,0.221
5.313333333,4.245,5.0,1.5,3.553333333,5.0,31.88,1662.0,30.0,8.1,1.65,11.33,1.459
6.72,4.84,5.0,2.0,3.22,5.0,13.44,339.0,10.0,3.86,0.86,0.5,1.858412
2.08,7.024809524,9.761904762,3.047619048,1.047619048,0.238095238,43.68,6018.0,5.0,7.9,2.68,9.83,3.73
3.15375,6.89345,7.5,3.75,1.125,2.5,25.23,1833.0,20.0,9.75,1.79,27.48,3.43
8.80625,5.088774,0.025,2.9975,2.2225,9.975,17.6125,393.45,19.95,5.5,0.52,12.691,0.37
5.13392233,6.389408544,8.965048544,2.893203883,3.576699029,1.034951456,26.4397,2911.16,5.33,16.6,2.45,31.38,1.71
6.42,5.113333333,7.333333333,5.333333333,3.26,2.666666667,19.26,1062.0,8.0,10.33,1.1,19.78,0.7
4.52,4.565,5.0,2.0,3.61,5.0,18.08,1063.0,20.0,5.49,0.76,6.66,1.6275
1.006,4.542,10.0,2.4,2.4,0.0,5.03,1420.0,0.0,1.74,2.01,8.59,3.25
4.03,4.68,10.0,2.5,3.5,0.0,8.06,754.0,0.0,3.4,0.24,22.85,1.5
0.151666667,7.366666667,10.0,2.333333333,0.5,0.0,1.82,3092.0,0.0,1.82,1.4,0.44,6.805
2.129130435,7.708104348,6.956521739,4.173913043,0.391304348,3.043478261,48.97,4523.0,70.0,9.75,2.4,11.08,3.7
3.175,5.2825,7.5,3.0,2.0,2.5,12.7,899.0,10.0,4.82,1.7,18.15,2.8
0.8625,6.269642857,10.0,2.5,1.0,0.0,24.15,8378.0,0.0,2.34,2.83,49.98,6.53
1.877647059,6.81,9.411764706,3.764705882,1.032941176,0.588235294,31.92,4727.0,10.0,10.2,2.67,31.78,3.1
5.35125,5.34,10.0,3.5,2.525,0.0,42.81,2224.0,0.0,1.98,1.25,30.25,1.8
6.5225,4.7525,8.25,4.0,3.695,1.75,26.09,1331.0,7.0,3.17,0.67,11.51,0.4
4.271,5.59988,8.0,3.5,1.044,2.0,42.71,1321.0,20.0,8.63,1.77,9.21,2.19
3.227142857,4.7102,10.0,0.857142857,3.0,0.0,22.59,3729.0,0.0,6.21,0.93,39.14,3.3
5.8875,4.7125,7.5,2.0,3.22,2.5,11.775,473.0,5.0,2.34,0.85,22.11,1.52
5.583333333,5.29,8.4,2.933333333,2.482666667,1.6,83.75,4224.0,24.0,2.52,1.26,16.61,1.69
2.933333333,3.526666667,10.0,2.0,2.666666667,0.0,8.8,673.0,0.0,3.58,0.49,27.99,1.67
3.870923077,6.931846154,6.061538462,3.646153846,1.242769231,3.938461538,251.61,15304.0,256.0,9.75,2.22,13.58,2.8
1.036666667,5.083333333,10.0,2.222222222,2.666666667,0.0,9.33,3572.0,0.0,2.34,2.01,49.84,4.0
3.60875,4.6175,8.25,2.75,2.555,1.75,28.87,2352.0,14.0,7.43,1.66,24.68,2.64
5.37,5.6975,0.0,4.5,0.75,10.0,21.48,583.0,40.0,1.76,0.39,12.05,2.348
6.442,4.818666667,2.666666667,2.266666667,3.005333333,7.333333333,96.63,2872.0,110.0,6.58,1.04,15.77,1.29
1.381445783,6.732650602,10.0,3.156626506,1.228915663,0.0,114.66,23949.0,0.0,5.32,2.51,49.98,5.47
1.927692308,7.008461538,7.615384615,3.538461538,0.769230769,2.384615385,25.06,3085.0,31.0,6.24,2.83,17.27,3.4
7.4175,4.9325,0.0,2.75,3.11,10.0,29.67,940.0,40.0,4.26,0.63,8.57,0.476666667
4.397,5.53842,10.0,2.5,2.444,0.0,43.97,2833.0,0.0,6.48,1.4,9.34,2.81
4.003695652,4.962704348,7.173913043,3.130434783,2.086956522,2.826086957,184.17,10197.0,130.0,8.89,1.65,9.58,1.4
3.9275,5.28875,10.0,3.5,2.0,0.0,31.42,1767.0,0.0,3.93,1.47,6.03,2.16
4.76,4.6925,9.166666667,2.416666667,2.48,0.833333333,57.12,2738.0,10.0,8.1,1.47,10.72,1.72
8.30875,5.0714,0.0,3.0,2.415,10.0,16.6175,419.5,20.0,5.16,0.38,12.691,0.04
4.085,4.62,10.0,2.5,2.11,0.0,16.34,830.0,0.0,5.04,1.47,4.36,2.6
2.227272727,6.917636364,9.545454545,1.454545455,0.707272727,0.454545455,24.5,2912.0,5.0,21.0,1.29,32.61,3.44
0.903333333,5.985,10.0,2.666666667,1.0,0.0,5.42,1584.0,0.0,2.34,2.79,49.98,3.67
3.27,5.254444444,8.518518519,3.111111111,2.296296296,1.481481481,88.29,6833.0,40.0,5.24,1.51,6.03,2.31
3.165,4.79375,7.5,2.5,2.305,2.5,25.32,1852.0,20.0,8.11,1.55,5.31,3.26
5.233333333,6.497266667,5.0,2.666666667,1.766666667,5.0,62.8,2757.0,60.0,11.9,2.11,17.27,2.2
5.177777778,5.1932,8.888888889,3.111111111,2.271111111,1.111111111,46.6,1988.0,10.0,6.25,1.33,5.71,2.21
6.625,5.03275,10.0,4.5,2.9,0.0,13.25,509.0,0.0,1.79,1.06,19.07,1.03
7.086666667,5.533466667,0.0,4.0,0.813333333,10.0,21.26,410.0,30.0,6.47,0.51,3.021,2.534777778
7.78825,5.23892,5.0,3.0,2.337,5.0,15.5765,438.9,10.0,6.61,0.61,2.231,0.135
5.8759,4.7057,7.9,2.0,3.22,2.1,11.7518,491.4,4.2,2.34,0.85,22.11,1.67
2.136363636,7.176818182,7.636363636,3.636363636,0.818181818,2.363636364,47.0,5497.0,52.0,6.24,2.64,17.27,3.81
2.11375,4.37625,10.0,1.125,2.875,0.0,33.82,8102.0,0.0,1.8,1.08,47.55,2.27
5.245517241,5.264234483,6.896551724,2.965517241,2.619310345,3.103448276,38.03,2005.0,22.5,9.33,0.98,35.22,1.48
6.223,4.59775,5.75,2.0,3.22,4.25,12.446,554.0,8.5,0.96,0.55,22.11,1.1
7.29875,6.849575,5.625,2.625,2.38,4.375,116.78,2224.0,70.0,11.43,1.02,3.57,3.03
5.234,5.124,10.0,2.8,2.576,0.0,26.17,1253.0,0.0,1.11,0.75,1.1,2.07
5.6825,5.34045,5.0,3.0,2.61,5.0,22.73,1002.0,20.0,9.83,0.9,18.15,1.69
2.790909091,6.825454545,6.818181818,3.363636364,1.514545455,3.181818182,30.7,2860.0,35.0,10.2,2.36,31.78,4.1
1.518333333,7.163355556,8.888888889,3.444444444,1.048888889,1.111111111,27.33,4556.0,20.0,11.4,2.17,5.97,4.86
5.959,4.6445,8.5,2.0,3.22,1.5,11.918,576.0,3.0,0.96,0.55,22.11,0.67
6.072222222,4.708888889,2.222222222,2.0,2.591111111,7.777777778,54.65,1282.0,70.0,6.78,1.29,15.4,2.48
4.808571429,5.191428571,8.571428571,2.857142857,2.348571429,1.428571429,33.66,1607.0,10.0,5.44,1.52,34.85,2.32
2.408571429,7.384285714,9.142857143,3.857142857,1.282857143,0.857142857,16.86,2152.0,6.0,10.2,3.18,31.78,2.52
5.25,6.97,5.0,2.5,2.72,5.0,10.5,363.0,10.0,10.5,2.78,11.04,2.8
4.76,6.88672,6.0,2.8,1.376,4.0,23.8,1111.0,20.0,11.9,2.03,3.922,2.25
2.850625,6.948125,6.5625,3.5625,1.38875,3.4375,45.61,4308.0,55.0,10.2,2.36,31.78,3.4
3.628,7.28876,10.0,3.2,1.2,0.0,18.14,1381.0,0.0,9.07,2.51,19.68,5.42
3.536923077,5.293846154,9.846153846,2.923076923,2.529230769,0.153846154,45.98,4027.0,2.0,4.08,1.45,35.22,2.78
1.6752,7.0708,9.76,3.68,0.96,0.24,41.88,6460.0,6.0,6.11,2.64,20.68,2.87
3.008,6.9802,10.0,4.8,1.12,0.0,15.04,1161.0,0.0,7.52,2.57,8.41,5.0
4.258,5.3028,7.0,3.6,2.532,3.0,42.58,2792.0,30.0,6.16,1.41,9.08,1.2
3.771428571,5.19,7.142857143,2.857142857,2.411428571,2.857142857,26.4,1782.0,20.0,5.24,1.51,6.03,3.057
2.863,6.618,8.5,3.9,1.756,1.5,28.63,3051.0,15.0,8.9,2.58,17.25,1.3
3.914117647,5.294117647,8.235294118,3.294117647,2.575294118,1.764705882,66.54,5424.0,30.0,5.79,1.45,18.15,1.0
4.4465,4.5965,10.0,2.0,3.22,0.0,8.893,597.1,0.0,4.08,0.66,27.04,2.16
4.5075,5.65,7.5,3.0,2.635,2.5,18.03,1194.0,10.0,8.96,2.59,12.83,2.98
2.55,7.165,8.75,4.25,1.445,1.25,10.2,1405.0,5.0,10.2,2.36,31.78,3.6625
7.69,4.516666667,3.333333333,1.333333333,4.293333333,6.666666667,23.07,847.0,20.0,8.43,1.04,9.58,1.0325
3.181153846,6.388846154,7.576923077,2.5,1.832307692,2.423076923,82.71,7323.0,63.0,8.96,2.64,12.83,1.8
6.26125,5.073175,5.875,2.75,2.915,4.125,50.09,2176.0,33.0,9.83,1.22,19.18,1.81
6.65,5.7078375,6.25,2.625,2.915,3.75,53.2,2161.0,30.0,17.48,0.96,11.89,2.2
4.73,4.5675,5.0,2.5,2.11,5.0,18.92,841.0,20.0,5.7,1.14,14.49,2.31
11.36,5.997833333,4.666666667,4.333333333,3.593333333,5.333333333,34.08,1280.0,16.0,17.81,0.92,25.11,0.4
1.864705882,6.958235294,8.470588235,3.647058824,1.058823529,1.529411765,31.7,4521.0,26.0,6.24,2.64,20.68,3.16
4.613333333,3.186666667,7.333333333,2.666666667,3.926666667,2.666666667,13.84,1174.0,8.0,4.87,0.23,0.3,0.77
1.966363636,5.864545455,9.0,1.090909091,1.161818182,1.0,21.63,2623.0,11.0,12.0,1.23,17.01,1.0
4.385,4.6125,8.75,2.0,3.22,1.25,8.77,540.25,2.5,5.31,0.85,6.66,2.18
3.652,5.248,9.8,2.8,2.488,0.2,18.26,1546.0,1.0,4.08,1.45,4.48,2.5
2.372,5.256,9.0,3.4,2.2,1.0,23.72,2675.0,10.0,5.72,1.54,19.21,2.21
2.166315789,6.942568421,7.894736842,3.157894737,1.332631579,2.105263158,41.16,4476.0,40.0,9.75,2.17,11.08,3.9
1.168571429,6.735714286,10.0,2.857142857,1.142857143,0.0,8.18,2322.0,0.0,3.5,2.64,49.98,6.443333333
3.895106383,5.102553191,9.361702128,2.659574468,2.740425532,0.638297872,18.307,1340.9,3.0,6.89,0.98,11.33,2.575
5.391428571,4.248571429,2.857142857,2.0,2.411428571,7.142857143,37.74,995.0,50.0,7.79,1.24,15.16,1.93
2.264705882,7.241764706,7.647058824,3.882352941,0.835294118,2.352941176,38.5,4239.0,40.0,6.77,2.56,17.27,3.65
3.4,5.18,5.0,3.0,0.5,5.0,6.8,186.0,10.0,3.06,1.48,5.73,6.356666667
2.731,6.596,8.8,3.6,1.678,1.2,27.31,3279.0,12.0,8.9,2.58,20.68,0.41
4.379565217,5.142173913,7.217391304,2.52173913,2.723478261,2.782608696,100.73,6253.0,64.0,6.58,1.45,4.48,2.27
5.825,5.28545,7.5,3.0,2.61,2.5,23.3,951.0,10.0,10.08,0.72,6.03,0.55
5.673333333,4.673333333,2.666666667,3.333333333,2.666666667,7.333333333,17.02,864.0,22.0,1.7,0.85,2.04,1.0
2.155714286,6.801485714,8.571428571,3.142857143,0.92,1.428571429,15.09,1586.0,10.0,11.4,2.83,4.579,4.39
3.74,4.65375,10.0,2.75,2.0,0.0,29.92,1683.0,0.0,4.35,1.36,34.34,2.25
6.295,4.585,5.0,2.0,3.22,5.0,12.59,548.0,10.0,0.79,0.32,14.28,0.778253333
5.12875,4.1375,5.0,1.25,3.47,5.0,41.03,1502.0,40.0,7.68,1.27,5.53,1.1
6.981267606,4.868450704,0.0,2.563380282,2.811830986,10.0,49.567,1492.2,71.0,4.26,0.63,14.23,0.19
4.7825,5.29125,8.75,3.25,2.25,1.25,38.26,1797.0,10.0,3.81,1.33,1.06,1.8
5.0525,5.1225,10.0,2.833333333,2.48,0.0,60.63,2913.0,0.0,2.4,1.33,2.16,2.64
4.972307692,4.48,5.384615385,1.615384615,3.664615385,4.615384615,64.64,2877.0,60.0,6.83,0.77,5.53,0.85
4.322727273,5.03,8.181818182,2.545454545,3.069090909,1.818181818,47.55,3266.0,20.0,8.43,1.04,48.83,2.35
6.435,5.47495,2.5,3.75,1.485,7.5,51.48,1478.0,60.0,9.33,0.73,9.58,1.6
2.036666667,6.646666667,9.0,3.666666667,1.666666667,1.0,12.22,2024.0,6.0,6.11,2.35,20.68,0.66
8.34965,5.072904,0.0,3.0,2.3994,10.0,16.6993,417.38,20.0,5.16,0.38,12.691,0.044
6.292630273,4.589305211,4.987593052,2.009925558,3.212009926,5.012406948,12.67965,551.075,10.1,0.79,0.52,14.28,0.684
4.4525,6.205,5.0,2.25,2.22,5.0,17.81,1025.0,20.0,10.5,2.17,11.08,4.2
4.3095,5.099,6.0,2.9,2.288,4.0,86.19,4613.0,80.0,5.24,1.51,15.77,2.13
1.864705882,6.839411765,9.411764706,3.764705882,1.032941176,0.588235294,31.7,4689.0,10.0,10.2,2.78,31.78,3.3
6.242,5.63648,9.8,3.4,2.42,0.2,31.21,1436.0,1.0,5.05,1.28,11.91,1.61
2.6875,5.1725,9.5,3.5,2.5,0.5,10.75,1307.0,2.0,2.47,1.26,13.73,0.9
3.927689655,5.191448276,7.586206897,2.917241379,2.616827586,2.413793103,113.903,7609.4,70.0,8.43,1.51,9.58,1.48
4.6875,4.91125,6.25,2.5,2.86,3.75,37.5,2032.0,30.0,8.97,1.66,18.15,2.3
2.901428571,4.591714286,7.714285714,2.457142857,2.221714286,2.285714286,101.55,7375.0,80.0,6.45,1.65,5.6,3.15
7.1775,4.975,2.5,2.75,3.11,7.5,28.71,980.0,30.0,4.77,0.66,16.4,0.8
6.285,4.85,5.0,2.0,3.72,5.0,12.57,563.0,10.0,8.43,1.04,9.58,1.141428571
2.895,4.36,5.0,3.0,0.5,5.0,5.79,197.0,10.0,4.07,1.43,5.49,6.132777778
2.72,5.503712,10.0,3.28,2.24,0.0,68.0,6846.0,0.0,6.73,1.51,10.4,3.28
2.967391304,8.114852174,6.956521739,4.173913043,0.913043478,3.043478261,68.25,3563.0,70.0,9.75,2.4,11.08,4.05
4.484285714,4.747142857,7.142857143,2.285714286,2.982857143,2.857142857,31.39,1901.0,20.0,7.43,1.66,25.98,1.96
7.122,5.31072,3.6,3.6,2.4,6.4,35.61,1059.0,32.0,4.96,0.48,10.8,0.28
7.973333333,5.047266667,1.666666667,2.666666667,2.813333333,8.333333333,47.84,1332.0,50.0,6.58,0.49,32.798,0.365
2.539361702,5.245744681,9.787234043,2.85106383,2.264680851,0.212765957,23.87,2983.0,2.0,5.06,1.51,48.48,3.54
5.674,5.344,10.0,4.0,2.44,0.0,28.37,1337.0,0.0,2.21,1.28,0.45,1.725
5.82,4.75,6.666666667,2.333333333,3.146666667,3.333333333,17.46,860.0,10.0,0.92,0.52,31.35,1.1
5.38,5.07625,9.583333333,2.708333333,2.683333333,0.416666667,25.824,1218.0,2.0,4.17,0.8,7.46,1.86
4.38594,5.5850208,9.858,3.316,2.4258,0.142,21.9297,1599.41,0.71,7.77,1.43,16.88,1.38
3.292,7.1172,10.0,6.0,1.2,0.0,16.46,1525.0,0.0,8.23,2.54,10.58,3.0
5.632,4.876,5.0,2.0,3.22,5.0,11.264,380.6,10.0,6.58,1.04,4.97,2.23
2.569565217,7.176991304,8.782608696,3.826086957,0.994782609,1.217391304,59.1,6487.0,28.0,11.4,2.41,26.18,2.79
8.10225,5.2486,4.95,3.0,2.22,5.05,16.2045,422.7,10.1,6.61,0.55,12.691,0.256
2.74037037,4.038888889,10.0,1.703703704,3.472592593,0.0,147.98,20152.0,0.0,4.37,1.04,48.36,1.18
5.0825,4.5825,2.5,2.5,2.11,7.5,20.33,798.0,30.0,6.77,1.14,14.49,1.46
3.985833333,4.905833333,10.0,2.833333333,2.333333333,0.0,47.83,3073.0,0.0,2.09,1.33,4.1,3.4
6.413,4.69714,3.0,1.8,2.932,7.0,64.13,2251.0,70.0,7.09,1.29,15.4,1.38
4.242,6.57808,6.0,3.6,1.088,4.0,21.21,1068.0,20.0,11.4,1.86,19.65,2.67
2.18,7.142142857,7.857142857,3.571428571,0.92,2.142857143,30.52,3404.0,30.0,6.24,2.06,17.27,4.145
5.066363636,5.146218182,9.818181818,3.272727273,2.181818182,0.181818182,55.73,2705.0,2.0,8.2,1.33,9.41,1.96
4.243333333,5.65,6.666666667,4.0,1.666666667,3.333333333,12.73,688.0,10.0,3.66,0.38,25.98,2.05
5.05375,4.8825,8.25,2.75,2.555,1.75,40.43,2130.0,14.0,7.09,1.52,24.31,2.19
4.13625,5.0525,7.5,2.625,2.61,2.5,33.09,2003.0,20.0,8.43,1.51,9.58,2.32
7.9561,5.237588,5.0,3.0,2.2668,5.0,15.9122,432.06,10.0,6.61,0.55,32.141,0.28
3.5075,5.327516667,10.0,3.833333333,2.406666667,0.0,42.09,3258.0,0.0,3.83,1.43,35.22,2.3
7.588571429,4.599357143,1.428571429,2.571428571,3.588571429,8.571428571,53.12,1812.0,60.0,2.72,1.03,8.86,0.23
3.7425,5.243333333,8.166666667,2.833333333,2.406666667,1.833333333,44.91,3465.0,22.0,5.24,1.51,6.03,1.87
4.082,4.6355,8.5,2.0,3.22,1.5,8.164,543.7,3.0,5.31,1.03,6.66,2.3
5.295703461,7.691934938,9.078435388,3.805242679,1.610894942,0.921564612,258.5892,20023.74,45.0,16.6,2.56,31.38,0.23
4.982857143,5.434328571,10.0,5.285714286,2.0,0.0,34.88,1442.0,0.0,0.45,1.25,2.52,0.58
6.21125,4.80375,5.0,2.125,3.22,5.0,49.69,1751.0,40.0,4.17,0.85,9.79,1.1
3.643,4.453,7.0,2.0,3.132,3.0,7.286,591.2,6.0,5.49,0.7,10.13,2.12
6.093333333,5.016666667,5.555555556,2.555555556,2.862222222,4.444444444,54.84,2202.0,40.0,4.17,0.8,9.79,0.6
3.25,6.6796,6.666666667,4.0,1.0,3.333333333,9.75,577.0,10.0,9.75,1.79,11.08,3.455
8.053333333,4.253333333,0.0,1.333333333,4.293333333,10.0,24.16,873.0,30.0,2.72,0.57,4.44,1.0725
5.0,5.036816667,8.333333333,2.833333333,2.24,1.666666667,30.0,1050.0,10.0,5.6,1.48,5.47,2.07
8.16,4.89,0.0,2.666666667,3.26,10.0,24.48,772.0,30.0,5.76,0.47,0.11,1.8
4.8425,4.88,6.25,2.25,3.415,3.75,38.74,2267.0,30.0,8.43,1.04,48.83,3.28
2.802083333,6.768333333,8.333333333,3.416666667,1.198333333,1.666666667,67.25,5806.0,40.0,7.31,2.1,27.48,4.22
6.855,4.7125,5.0,2.0,3.61,5.0,27.42,1018.0,20.0,2.92,0.66,21.51,0.363333333
5.54,7.165633333,6.666666667,3.333333333,1.48,3.333333333,16.62,294.0,10.0,13.5,1.28,2.995,3.4
