Compound,A,B,In literature,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
LaInO3,La,In,TRUE,orthorhombic,3,3,1.36,1.03,0.8,1.1,1.78,2.689118757,2.147680955,-6.563428571,0.887097598,2.361248534,0.571428571
LaIrO3,La,Ir,FALSE,orthorhombic,3,3,1.36,1.03,0.68,1.1,2.2,2.689118757,2.009082787,-6.217142857,0.938276306,1.714993775,0.485714286
LaLuO3,La,Lu,TRUE,rhombohedral,3,3,1.36,1.03,0.86,1.1,1.27,2.689118757,2.209114963,-6.947857143,0.863546335,2.97943978,0.614285714
LaMnO3,La,Mn,TRUE,orthorhombic,3,3,1.36,1.03,0.65,1.1,1.55,2.689118757,2.16999357,-6.492357143,0.952007179,1.65607887,0.464285714
LaMoO3,La,Mo,FALSE,orthorhombic,3,3,1.36,1.03,0.69,1.1,2.16,2.689118757,1.7893,-6.245714286,0.933786945,1.743240294,0.492857143
LaNbO3,La,Nb,FALSE,orthorhombic,1,5,1.36,1.03,0.64,1.1,1.6,2.689118757,1.955055241,-6.456,0.95667388,4.006655603,0.457142857
LaNdO3,La,Nd,FALSE,cubic,3,3,1.36,1.03,0.98,1.1,1.14,2.689118757,2.320966993,-7.224857143,0.820006183,5.133561661,0.7
LaNiO3,La,Ni,TRUE,orthorhombic,3,3,1.36,1.03,0.6,1.1,1.91,2.689118757,2.103725488,-6.270571429,0.975807358,1.643139289,0.428571429
LaPbO3,La,Pb,FALSE,cubic,2,4,1.36,1.03,0.78,1.1,2.33,2.689118757,2.362863567,-6.233285714,0.895236108,4.067385882,0.557142857
LaPdO3,La,Pd,FALSE,orthorhombic,2,4,1.36,1.03,0.62,1.1,2.2,2.689118757,2.04250519,-6.164,0.966145899,3.843019677,0.442857143
LaReO3,La,Re,FALSE,cubic,3,3,1.36,1.03,0.63,1.1,1.9,2.689118757,1.98797081,-6.307857143,0.96138656,1.638103726,0.45
LaRhO3,La,Rh,TRUE,orthorhombic,3,3,1.36,1.03,0.67,1.1,2.28,2.689118757,2.001424352,-6.17,0.942809042,1.691073151,0.478571429
LaRuO3,La,Ru,TRUE,orthorhombic,3,3,1.36,1.03,0.68,1.1,2.2,2.689118757,2.018753288,-6.217142857,0.938276306,1.714993775,0.485714286
LaSbO3,La,Sb,FALSE,cubic,3,3,1.36,1.03,0.76,1.1,2.05,2.689118757,2.075848892,-6.369428571,0.903525332,2.067440009,0.542857143
LaScO3,La,Sc,TRUE,orthorhombic,3,3,1.36,1.03,0.75,1.1,1.36,2.689118757,2.074614707,-6.729142857,0.907727775,2.006961882,0.535714286
LaSmO3,La,Sm,FALSE,cubic,3,3,1.36,1.03,0.96,1.1,1.17,2.689118757,2.311832729,-7.171428571,0.826955388,4.66022342,0.685714286
LaSnO3,La,Sn,FALSE,cubic,2,4,1.36,1.03,0.69,1.1,1.96,2.689118757,2.052287148,-6.344285714,0.933786945,3.838488698,0.492857143
LaTaO3,La,Ta,FALSE,orthorhombic,1,5,1.36,1.03,0.64,1.1,1.5,2.689118757,1.956808277,-6.501714286,0.95667388,4.006655603,0.457142857
LaTbO3,La,Tb,FALSE,cubic,3,3,1.36,1.03,0.92,1.1,1.2,2.689118757,2.256932729,-7.086857143,0.84121324,3.867773593,0.657142857
LaTeO3,La,Te,FALSE,cubic,2,4,1.36,1.03,0.97,1.1,2.1,2.689118757,2.115491508,-6.543285714,0.823466125,5.740899995,0.692857143
LaThO3,La,Th,FALSE,cubic,2,4,1.36,1.03,0.94,1.1,1.3,2.689118757,2.246056043,-7.051714286,0.834023383,5.323496992,0.671428571
LaTiO3,La,Ti,TRUE,orthorhombic,3,3,1.36,1.03,0.67,1.1,1.54,2.689118757,1.927848949,-6.524142857,0.942809042,1.691073151,0.478571429
LaTlO3,La,Tl,FALSE,orthorhombic,3,3,1.36,1.03,0.89,1.1,1.62,2.689118757,2.297683747,-6.771857143,0.8522335,3.384518324,0.635714286
LaTmO3,La,Tm,TRUE,orthorhombic,3,3,1.36,1.03,0.88,1.1,1.25,2.689118757,2.119700811,-6.991428571,0.855971367,3.241428659,0.628571429
LaUO3,La,U,FALSE,cubic,1,5,1.36,1.03,0.76,1.1,1.38,2.689118757,2.0478,-6.733142857,0.903525332,3.917216845,0.542857143
LaVO3,La,V,TRUE,orthorhombic,3,3,1.36,1.03,0.64,1.1,1.63,2.689118757,1.758039163,-6.442285714,0.95667388,1.644966809,0.457142857
LaWO3,La,W,FALSE,orthorhombic,3,3,1.36,1.03,0.66,1.1,2.36,2.689118757,1.7456,-6.124,0.947385785,1.671443038,0.471428571
LaYO3,La,Y,FALSE,cubic,3,3,1.36,1.03,0.9,1.1,1.22,2.689118757,2.235124352,-7.042,0.848528137,3.536264945,0.642857143
LaYbO3,La,Yb,TRUE,cubic,3,3,1.36,1.03,0.87,1.1,1.1,2.689118757,2.223980699,-7.069,0.859742166,3.106540919,0.621428571
LaZrO3,La,Zr,FALSE,orthorhombic,3,3,1.36,1.03,0.72,1.1,1.33,2.689118757,2.043777903,-6.7,0.920572979,1.854455066,0.514285714
LiFeO3,Li,Fe,FALSE,orthorhombic,1,5,0.92,0.76,0.59,0.98,1.83,2.453211831,1.999521816,-4.555642857,0.824365695,4.882882609,0.421428571
LiReO3,Li,Re,FALSE,rhombohedral,1,5,0.92,0.76,0.58,0.98,1.9,2.453211831,1.98797081,-4.515142857,0.828529158,4.852011679,0.414285714
LiSbO3,Li,Sb,FALSE,rhombohedral,1,5,0.92,0.76,0.6,0.98,2.05,2.453211831,2.075848892,-4.472857143,0.820243866,4.920547752,0.428571429
LuAsO3,Lu,As,FALSE,cubic,3,3,1.03,0.86,0.58,1.27,2.18,2.500929926,1.932227032,-4.649357143,0.867812868,2.690680254,0.414285714
LuCoO3,Lu,Co,FALSE,orthorhombic,3,3,1.03,0.86,0.61,1.27,1.88,2.500929926,1.930310969,-4.807071429,0.854860437,2.964880997,0.435714286
LuCrO3,Lu,Cr,TRUE,orthorhombic,3,3,1.03,0.86,0.62,1.27,1.66,2.500929926,1.960053288,-4.915642857,0.850628455,3.076669632,0.442857143
LuFeO3,Lu,Fe,TRUE,orthorhombic,3,3,1.03,0.86,0.65,1.27,1.83,2.500929926,1.999521816,-4.874857143,0.838180233,3.480622904,0.464285714
LuGaO3,Lu,Ga,FALSE,orthorhombic,3,3,1.03,0.86,0.62,1.27,1.81,2.500929926,1.974643898,-4.849214286,0.850628455,3.076669632,0.442857143
LuGeO3,Lu,Ge,FALSE,cubic,3,3,1.03,0.86,0.63,1.27,2.01,2.500929926,1.899964183,-4.770857143,0.846438167,3.199478438,0.45
LuIrO3,Lu,Ir,FALSE,cubic,3,3,1.03,0.86,0.68,1.27,2.2,2.500929926,2.009082787,-4.729642857,0.826091095,4.002669215,0.485714286
LuMnO3,Lu,Mn,TRUE,orthorhombic,3,3,1.03,0.86,0.65,1.27,1.55,2.500929926,2.16999357,-5.004857143,0.838180233,3.480622904,0.464285714
LuMoO3,Lu,Mo,FALSE,cubic,3,3,1.03,0.86,0.69,1.27,2.16,2.500929926,1.7893,-4.758214286,0.822138506,4.207241977,0.492857143
LuNiO3,Lu,Ni,FALSE,orthorhombic,3,3,1.03,0.86,0.6,1.27,1.91,2.500929926,2.103725488,-4.783071429,0.859134739,2.863585784,0.428571429
LuReO3,Lu,Re,FALSE,cubic,3,3,1.03,0.86,0.63,1.27,1.9,2.500929926,1.98797081,-4.820357143,0.846438167,3.199478438,0.45
LuRhO3,Lu,Rh,FALSE,cubic,3,3,1.03,0.86,0.67,1.27,2.28,2.500929926,2.001424352,-4.6825,0.830081874,3.814087726,0.478571429
LuRuO3,Lu,Ru,FALSE,cubic,3,3,1.03,0.86,0.68,1.27,2.2,2.500929926,2.018753288,-4.729642857,0.826091095,4.002669215,0.485714286
LuTiO3,Lu,Ti,TRUE,orthorhombic,3,3,1.03,0.86,0.67,1.27,1.54,2.500929926,1.927848949,-5.036642857,0.830081874,3.814087726,0.478571429
LuVO3,Lu,V,FALSE,cubic,3,3,1.03,0.86,0.64,1.27,1.63,2.500929926,1.758039163,-4.954785714,0.84228896,3.333904436,0.457142857
LuWO3,Lu,W,FALSE,cubic,3,3,1.03,0.86,0.66,1.27,2.36,2.500929926,1.7456,-4.6365,0.834111397,3.640396778,0.471428571
MnFeO3,Mn,Fe,FALSE,orthorhombic,2,4,0.96,0.62,0.59,1.55,1.83,2.472898888,1.999521816,-4.333357143,0.838578896,5.057691222,0.421428571
MnIrO3,Mn,Ir,FALSE,cubic,2,4,0.96,0.62,0.63,1.55,2.2,2.472898888,2.009082787,-4.212857143,0.822055174,5.457553712,0.45
MnPdO3,Mn,Pd,FALSE,cubic,2,4,0.96,0.62,0.62,1.55,2.2,2.472898888,2.04250519,-4.204,0.826124754,5.341038905,0.442857143
MnReO3,Mn,Re,FALSE,orthorhombic,2,4,0.96,0.62,0.63,1.55,1.9,2.472898888,1.98797081,-4.347857143,0.822055174,5.457553712,0.45
MnRhO3,Mn,Rh,FALSE,cubic,2,4,0.96,0.62,0.6,1.55,2.28,2.472898888,2.001424352,-4.152,0.834386002,5.141791398,0.428571429
MnRuO3,Mn,Ru,FALSE,orthorhombic,2,4,0.96,0.62,0.62,1.55,2.2,2.472898888,2.018753288,-4.204,0.826124754,5.341038905,0.442857143
MnSbO3,Mn,Sb,FALSE,cubic,1,5,0.96,0.62,0.6,1.55,2.05,2.472898888,2.075848892,-4.250571429,0.834386002,4.737562366,0.428571429
MnTiO3,Mn,Ti,FALSE,orthorhombic,2,4,0.96,0.62,0.61,1.55,1.54,2.472898888,1.927848949,-4.482714286,0.830234828,5.236028332,0.435714286
MnVO3,Mn,V,FALSE,orthorhombic,2,4,0.96,0.62,0.58,1.55,1.63,2.472898888,1.758039163,-4.404714286,0.842814143,4.98317352,0.414285714
NaBiO3,Na,Bi,FALSE,orthorhombic,1,5,1.39,1.02,0.76,0.93,2.02,2.759925005,2.215655462,-6.678357143,0.913346259,3.871464876,0.542857143
NaMoO3,Na,Mo,FALSE,cubic,1,5,1.39,1.02,0.61,0.93,2.16,2.759925005,1.7893,-6.465214286,0.981506428,4.061823509,0.435714286
NaNbO3,Na,Nb,TRUE,orthorhombic,1,5,1.39,1.02,0.64,0.93,1.6,2.759925005,1.955055241,-6.748642857,0.96707251,3.987784455,0.457142857
NaReO3,Na,Re,FALSE,cubic,1,5,1.39,1.02,0.58,0.93,1.9,2.759925005,1.98797081,-6.5455,0.996377737,4.155746119,0.414285714
NaSbO3,Na,Sb,FALSE,orthorhombic,1,5,1.39,1.02,0.6,0.93,2.05,2.759925005,2.075848892,-6.503214286,0.98641396,4.090845149,0.428571429
NaTaO3,Na,Ta,TRUE,orthorhombic,1,5,1.39,1.02,0.64,0.93,1.5,2.759925005,1.956808277,-6.794357143,0.96707251,3.987784455,0.457142857
NaUO3,Na,U,TRUE,orthorhombic,1,5,1.39,1.02,0.76,0.93,1.38,2.759925005,2.0478,-7.025785714,0.913346259,3.871464876,0.542857143
NaWO3,Na,W,TRUE,cubic,1,5,1.39,1.02,0.62,0.93,2.36,2.759925005,1.7456,-6.385785714,0.976647485,4.035006992,0.442857143
NdAgO3,Nd,Ag,FALSE,orthorhombic,3,3,1.27,0.98,0.75,1.14,1.93,2.617633987,2.488353231,-6.015928571,0.878127956,2.511644654,0.535714286
NdAsO3,Nd,As,FALSE,cubic,3,3,1.27,0.98,0.58,1.14,2.18,2.617633987,1.932227032,-5.729,0.953522781,1.795311662,0.414285714
NdCeO3,Nd,Ce,FALSE,cubic,2,4,1.35,0.98,0.87,1.14,1.12,2.617633987,2.268642439,-6.976714286,0.856627158,4.672654149,0.621428571
NdCoO3,Nd,Co,TRUE,orthorhombic,3,3,1.27,0.98,0.61,1.14,1.88,2.617633987,1.930310969,-5.886714286,0.939291097,1.812454148,0.435714286
NdCrO3,Nd,Cr,TRUE,orthorhombic,3,3,1.27,0.98,0.62,1.14,1.66,2.617633987,1.960053288,-5.995285714,0.934641141,1.828091905,0.442857143
NdErO3,Nd,Er,FALSE,cubic,3,3,1.27,0.98,0.89,1.14,1.24,2.617633987,2.250676638,-6.605571429,0.824443278,4.613225655,0.635714286
NdFeO3,Nd,Fe,TRUE,orthorhombic,3,3,1.27,0.98,0.65,1.14,1.83,2.617633987,1.999521816,-5.9545,0.920963466,1.90502571,0.464285714
NdGaO3,Nd,Ga,TRUE,orthorhombic,3,3,1.27,0.98,0.62,1.14,1.81,2.617633987,1.974643898,-5.928857143,0.934641141,1.828091905,0.442857143
NdHfO3,Nd,Hf,FALSE,orthorhombic,2,4,1.35,0.98,0.71,1.14,1.3,2.617633987,2.027412322,-6.620285714,0.921584667,3.889738042,0.507142857
NdHoO3,Nd,Ho,FALSE,cubic,3,3,1.27,0.98,0.9,1.14,1.23,2.617633987,2.25865608,-6.627714286,0.820858742,4.848270278,0.642857143
NdInO3,Nd,In,TRUE,orthorhombic,3,3,1.27,0.98,0.8,1.14,1.78,2.617633987,2.147680955,-6.155571429,0.858170503,3.054862698,0.571428571
NdIrO3,Nd,Ir,FALSE,orthorhombic,2,4,1.35,0.98,0.63,1.14,2.2,2.617633987,2.009082787,-6.093,0.957903275,3.845485656,0.45
NdLuO3,Nd,Lu,FALSE,orthorhombic,3,3,1.27,0.98,0.86,1.14,1.27,2.617633987,2.209114963,-6.54,0.835387215,3.992146004,0.614285714
NdMnO3,Nd,Mn,TRUE,orthorhombic,3,3,1.27,0.98,0.65,1.14,1.55,2.617633987,2.16999357,-6.0845,0.920963466,1.90502571,0.464285714
NdMoO3,Nd,Mo,FALSE,orthorhombic,2,4,1.35,0.98,0.65,1.14,2.16,2.617633987,1.7893,-6.129285714,0.948557877,3.837136818,0.464285714
NdNbO3,Nd,Nb,FALSE,orthorhombic,2,4,1.35,0.98,0.68,1.14,1.6,2.617633987,1.955055241,-6.428714286,0.934876754,3.848818981,0.485714286
NdNiO3,Nd,Ni,TRUE,orthorhombic,3,3,1.27,0.98,0.6,1.14,1.91,2.617633987,2.103725488,-5.862714286,0.943987553,1.8017781,0.428571429
NdPbO3,Nd,Pb,FALSE,cubic,2,4,1.35,0.98,0.78,1.14,2.33,2.617633987,2.362863567,-6.153428571,0.891992499,4.105030948,0.557142857
NdPdO3,Nd,Pd,FALSE,orthorhombic,2,4,1.35,0.98,0.62,1.14,2.2,2.617633987,2.04250519,-6.084142857,0.96264537,3.854533671,0.442857143
NdPrO3,Nd,Pr,FALSE,cubic,2,4,1.35,0.98,0.85,1.14,1.13,2.617633987,2.340791612,-6.9375,0.864241621,4.513269549,0.607142857
NdReO3,Nd,Re,FALSE,cubic,3,3,1.27,0.98,0.63,1.14,1.9,2.617633987,1.98797081,-5.9,0.930036998,1.84870919,0.45
NdRhO3,Nd,Rh,TRUE,orthorhombic,2,4,1.35,0.98,0.6,1.14,2.28,2.617633987,2.001424352,-6.032142857,0.972271824,3.882516124,0.428571429
NdRuO3,Nd,Ru,FALSE,orthorhombic,2,4,1.35,0.98,0.62,1.14,2.2,2.617633987,2.018753288,-6.084142857,0.96264537,3.854533671,0.442857143
NdSbO3,Nd,Sb,FALSE,cubic,3,3,1.27,0.98,0.76,1.14,2.05,2.617633987,2.075848892,-5.961571429,0.874062549,2.605707013,0.542857143
NdScO3,Nd,Sc,TRUE,orthorhombic,3,3,1.27,0.98,0.75,1.14,1.36,2.617633987,2.074614707,-6.321285714,0.878127956,2.511644654,0.535714286
NdSnO3,Nd,Sn,FALSE,cubic,2,4,1.35,0.98,0.69,1.14,1.96,2.617633987,2.052287148,-6.264428571,0.930403659,3.859182837,0.492857143
NdTaO3,Nd,Ta,FALSE,orthorhombic,2,4,1.35,0.98,0.68,1.14,1.5,2.617633987,1.956808277,-6.477285714,0.934876754,3.848818981,0.485714286
NdTbO3,Nd,Tb,FALSE,cubic,2,4,1.35,0.98,0.76,1.14,1.2,2.617633987,2.256932729,-6.751,0.900251689,4.025526237,0.542857143
NdTeO3,Nd,Te,FALSE,cubic,2,4,1.35,0.98,0.97,1.14,2.1,2.617633987,2.115491508,-6.463428571,0.820482552,5.863776817,0.692857143
NdThO3,Nd,Th,FALSE,cubic,2,4,1.35,0.98,0.94,1.14,1.3,2.617633987,2.246056043,-6.971857143,0.831001559,5.424442248,0.671428571
NdTiO3,Nd,Ti,TRUE,orthorhombic,2,4,1.35,0.98,0.61,1.14,1.54,2.617633987,1.927848949,-6.362857143,0.967434651,3.866864966,0.435714286
NdTlO3,Nd,Tl,FALSE,orthorhombic,3,3,1.27,0.98,0.89,1.14,1.62,2.617633987,2.297683747,-6.364,0.824443278,4.613225655,0.635714286
NdTmO3,Nd,Tm,FALSE,cubic,3,3,1.27,0.98,0.88,1.14,1.25,2.617633987,2.119700811,-6.583571429,0.828059257,4.392850606,0.628571429
NdUO3,Nd,U,FALSE,cubic,2,4,1.35,0.98,0.89,1.14,1.38,2.617633987,2.0478,-6.844571429,0.849145698,4.854426402,0.635714286
NdVO3,Nd,V,TRUE,orthorhombic,3,3,1.27,0.98,0.64,1.14,1.63,2.617633987,1.758039163,-6.034428571,0.925477993,1.874338211,0.457142857
NdWO3,Nd,W,FALSE,cubic,2,4,1.35,0.98,0.66,1.14,2.36,2.617633987,1.7456,-6.044142857,0.943953227,3.83780596,0.471428571
NdYO3,Nd,Y,FALSE,cubic,3,3,1.27,0.98,0.9,1.14,1.22,2.617633987,2.235124352,-6.634142857,0.820858742,4.848270278,0.642857143
NdYbO3,Nd,Yb,FALSE,cubic,3,3,1.27,0.98,0.87,1.14,1.1,2.617633987,2.223980699,-6.661142857,0.831707095,4.186128612,0.621428571
NdZrO3,Nd,Zr,FALSE,orthorhombic,2,4,1.35,0.98,0.72,1.14,1.33,2.617633987,2.043777903,-6.620142857,0.91723757,3.91000019,0.514285714
PbCeO3,Pb,Ce,FALSE,cubic,2,4,1.49,0.99,0.87,2.33,1.12,2.659877134,2.268642439,-6.284214286,0.900237268,3.975448648,0.621428571
PbFeO3,Pb,Fe,FALSE,orthorhombic,2,4,1.49,0.99,0.59,2.33,1.83,2.659877134,1.999521816,-5.521,1.026903818,3.824952968,0.421428571
PbHfO3,Pb,Hf,TRUE,orthorhombic,2,4,1.49,0.99,0.71,2.33,1.3,2.659877134,2.027412322,-5.927785714,0.968501705,3.634009839,0.507142857
PbIrO3,Pb,Ir,FALSE,orthorhombic,2,4,1.49,0.99,0.63,2.33,2.2,2.659877134,2.009082787,-5.4005,1.00666926,3.717221177,0.45
PbMoO3,Pb,Mo,FALSE,tetragonal,2,4,1.49,0.99,0.65,2.33,2.16,2.659877134,1.7893,-5.436785714,0.996848096,3.680415313,0.464285714
PbNbO3,Pb,Nb,FALSE,orthorhombic,2,4,1.49,0.99,0.68,2.33,1.6,2.659877134,1.955055241,-5.736214286,0.98247048,3.645434052,0.485714286
PbPdO3,Pb,Pd,FALSE,orthorhombic,2,4,1.49,0.99,0.62,2.33,2.2,2.659877134,2.04250519,-5.391642857,1.011652771,3.739800677,0.442857143
PbPrO3,Pb,Pr,FALSE,cubic,2,4,1.49,0.99,0.85,2.33,1.13,2.659877134,2.340791612,-6.245,0.908239377,3.893118461,0.607142857
PbReO3,Pb,Re,FALSE,cubic,2,4,1.49,0.99,0.63,2.33,1.9,2.659877134,1.98797081,-5.5355,1.00666926,3.717221177,0.45
PbRhO3,Pb,Rh,FALSE,orthorhombic,2,4,1.49,0.99,0.6,2.33,2.28,2.659877134,2.001424352,-5.339642857,1.021769299,3.793598445,0.428571429
PbRuO3,Pb,Ru,FALSE,orthorhombic,2,4,1.49,0.99,0.62,2.33,2.2,2.659877134,2.018753288,-5.391642857,1.011652771,3.739800677,0.442857143
PbSbO3,Pb,Sb,FALSE,orthorhombic,2,4,1.49,0.99,0.68,2.33,2.05,2.659877134,2.075848892,-5.517642857,0.98247048,3.645434052,0.485714286
PbSnO3,Pb,Sn,FALSE,rhombohedral,2,4,1.49,0.99,0.69,2.33,1.96,2.659877134,2.052287148,-5.571928571,0.977769664,3.639036549,0.492857143
PbTaO3,Pb,Ta,FALSE,rhombohedral,2,4,1.49,0.99,0.68,2.33,1.5,2.659877134,1.956808277,-5.784785714,0.98247048,3.645434052,0.485714286
PbTbO3,Pb,Tb,FALSE,orthorhombic,2,4,1.49,0.99,0.76,2.33,1.2,2.659877134,2.256932729,-6.0585,0.946082684,3.666491946,0.542857143
PbTeO3,Pb,Te,FALSE,tetragonal,2,4,1.49,0.99,0.97,2.33,2.1,2.659877134,2.115491508,-5.770928571,0.862252573,4.600596498,0.692857143
PbThO3,Pb,Th,FALSE,orthorhombic,2,4,1.49,0.99,0.94,2.33,1.3,2.659877134,2.246056043,-6.279357143,0.873307093,4.371381196,0.671428571
PbTiO3,Pb,Ti,TRUE,tetragonal,2,4,1.49,0.99,0.61,2.33,1.54,2.659877134,1.927848949,-5.670357143,1.016685869,3.765238332,0.435714286
PbUO3,Pb,U,FALSE,orthorhombic,2,4,1.49,0.99,0.89,2.33,1.38,2.659877134,2.0478,-6.152071429,0.892374933,4.070705054,0.635714286
PbVO3,Pb,V,FALSE,tetragonal,2,4,1.49,0.99,0.58,2.33,1.63,2.659877134,1.758039163,-5.592357143,1.032090201,3.859381963,0.414285714
PbWO3,Pb,W,FALSE,cubic,2,4,1.49,0.99,0.66,2.33,2.36,2.659877134,1.7456,-5.351642857,0.992009028,3.666095201,0.471428571
PbZrO3,Pb,Zr,TRUE,orthorhombic,2,4,1.49,0.99,0.72,2.33,1.33,2.659877134,2.043777903,-5.927642857,0.963933301,3.635358295,0.514285714
PrAgO3,Pr,Ag,FALSE,orthorhombic,3,3,1.18,0.92,0.75,1.13,1.93,2.645083225,2.488353231,-5.655357143,0.848528137,3.281574739,0.535714286
PrAsO3,Pr,As,FALSE,orthorhombic,3,3,1.18,0.92,0.58,1.13,2.18,2.645083225,1.932227032,-5.368428571,0.921381563,2.007274753,0.414285714
PrCoO3,Pr,Co,TRUE,orthorhombic,3,3,1.18,0.92,0.61,1.13,1.88,2.645083225,1.930310969,-5.526142857,0.9076296,2.090450333,0.435714286
PrCrO3,Pr,Cr,TRUE,orthorhombic,3,3,1.18,0.92,0.62,1.13,1.66,2.645083225,1.960053288,-5.634714286,0.903136384,2.130219431,0.442857143
PrFeO3,Pr,Fe,TRUE,orthorhombic,3,3,1.18,0.92,0.65,1.13,1.83,2.645083225,1.999521816,-5.593928571,0.889919754,2.287131426,0.464285714
PrGaO3,Pr,Ga,TRUE,orthorhombic,3,3,1.18,0.92,0.62,1.13,1.81,2.645083225,1.974643898,-5.568285714,0.903136384,2.130219431,0.442857143
PrGeO3,Pr,Ge,FALSE,orthorhombic,3,3,1.18,0.92,0.63,1.13,2.01,2.645083225,1.899964183,-5.489928571,0.898687436,2.176167775,0.45
PrHfO3,Pr,Hf,FALSE,orthorhombic,3,3,1.18,0.92,0.71,1.13,1.3,2.645083225,2.027412322,-5.931714286,0.864613979,2.786533542,0.507142857
PrInO3,Pr,In,FALSE,orthorhombic,3,3,1.18,0.92,0.8,1.13,1.78,2.645083225,2.147680955,-5.795,0.829243407,4.135331361,0.571428571
PrIrO3,Pr,Ir,FALSE,orthorhombic,3,3,1.18,0.92,0.68,1.13,2.2,2.645083225,2.009082787,-5.448714286,0.877084373,2.503853194,0.485714286
PrMnO3,Pr,Mn,TRUE,orthorhombic,3,3,1.18,0.92,0.65,1.13,1.55,2.645083225,2.16999357,-5.723928571,0.889919754,2.287131426,0.464285714
PrMoO3,Pr,Mo,FALSE,orthorhombic,3,3,1.18,0.92,0.69,1.13,2.16,2.645083225,1.7893,-5.477285714,0.872887797,2.590379445,0.492857143
PrNbO3,Pr,Nb,FALSE,orthorhombic,3,3,1.18,0.92,0.72,1.13,1.6,2.645083225,1.955055241,-5.792714286,0.860535611,2.896838155,0.514285714
PrNiO3,Pr,Ni,TRUE,orthorhombic,3,3,1.18,0.92,0.6,1.13,1.91,2.645083225,2.103725488,-5.502142857,0.912167748,2.056755661,0.428571429
PrPdO3,Pr,Pd,FALSE,orthorhombic,2,4,1.18,0.92,0.62,1.13,2.2,2.645083225,2.04250519,-5.395571429,0.903136384,4.172834459,0.442857143
PrReO3,Pr,Re,FALSE,cubic,3,3,1.18,0.92,0.63,1.13,1.9,2.645083225,1.98797081,-5.539428571,0.898687436,2.176167775,0.45
PrRhO3,Pr,Rh,TRUE,orthorhombic,3,3,1.18,0.92,0.67,1.13,2.28,2.645083225,2.001424352,-5.401571429,0.881321495,2.424634788,0.478571429
PrRuO3,Pr,Ru,TRUE,orthorhombic,3,3,1.18,0.92,0.68,1.13,2.2,2.645083225,2.018753288,-5.448714286,0.877084373,2.503853194,0.485714286
PrSbO3,Pr,Sb,FALSE,cubic,3,3,1.18,0.92,0.76,1.13,2.05,2.645083225,2.075848892,-5.601,0.844599766,3.429401867,0.542857143
PrScO3,Pr,Sc,TRUE,orthorhombic,3,3,1.18,0.92,0.75,1.13,1.36,2.645083225,2.074614707,-5.960714286,0.848528137,3.281574739,0.535714286
PrSnO3,Pr,Sn,FALSE,cubic,3,3,1.18,0.92,0.69,1.13,1.96,2.645083225,2.052287148,-5.575857143,0.872887797,2.590379445,0.492857143
PrTaO3,Pr,Ta,FALSE,orthorhombic,3,3,1.18,0.92,0.72,1.13,1.5,2.645083225,1.956808277,-5.844142857,0.860535611,2.896838155,0.514285714
PrTiO3,Pr,Ti,TRUE,orthorhombic,3,3,1.18,0.92,0.67,1.13,1.54,2.645083225,1.927848949,-5.755714286,0.881321495,2.424634788,0.478571429
PrVO3,Pr,V,TRUE,orthorhombic,3,3,1.18,0.92,0.64,1.13,1.63,2.645083225,1.758039163,-5.673857143,0.894282106,2.228421979,0.457142857
PrWO3,Pr,W,FALSE,orthorhombic,3,3,1.18,0.92,0.66,1.13,2.36,2.645083225,1.7456,-5.355571429,0.885599755,2.352469455,0.471428571
PrZrO3,Pr,Zr,FALSE,orthorhombic,3,3,1.18,0.92,0.72,1.13,1.33,2.645083225,2.043777903,-5.931571429,0.860535611,2.896838155,0.514285714
RbBiO3,Rb,Bi,FALSE,cubic,1,5,1.72,1.52,0.76,0.82,2.02,3.112266446,2.215655462,-8.216,1.021376462,3.612998482,0.542857143
RbMoO3,Rb,Mo,FALSE,rhombohedral,1,5,1.72,1.52,0.61,0.82,2.16,3.112266446,1.7893,-8.002857143,1.097598586,4.015143769,0.435714286
RbNbO3,Rb,Nb,FALSE,tetragonal,1,5,1.72,1.52,0.64,0.82,1.6,3.112266446,1.955055241,-8.286285714,1.08145743,3.905959465,0.457142857
RbTaO3,Rb,Ta,FALSE,tetragonal,1,5,1.72,1.52,0.64,0.82,1.5,3.112266446,1.956808277,-8.332,1.08145743,3.905959465,0.457142857
RbUO3,Rb,U,TRUE,rhombohedral,1,5,1.72,1.52,0.76,0.82,1.38,3.112266446,2.0478,-8.563428571,1.021376462,3.612998482,0.542857143
RbWO3,Rb,W,FALSE,orthorhombic,1,5,1.72,1.52,0.62,0.82,2.36,3.112266446,1.7456,-7.923428571,1.092164929,3.976902278,0.442857143
SmAsO3,Sm,As,FALSE,cubic,3,3,1.24,0.96,0.58,1.17,2.18,2.611965458,1.932227032,-5.579428571,0.942809042,1.854787655,0.414285714
SmCeO3,Sm,Ce,FALSE,cubic,2,4,1.32,0.96,0.87,1.17,1.12,2.611965458,2.268642439,-6.825428571,0.847282134,4.88798614,0.621428571
SmCoO3,Sm,Co,TRUE,orthorhombic,3,3,1.24,0.96,0.61,1.17,1.88,2.611965458,1.930310969,-5.737142857,0.928737265,1.891493655,0.435714286
SmCrO3,Sm,Cr,TRUE,orthorhombic,3,3,1.24,0.96,0.62,1.17,1.66,2.611965458,1.960053288,-5.845714286,0.924139556,1.914234761,0.442857143
