Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
Bi(MgTi)O3-PT,0.05,0.95,1.0239,0.0771,779
Bi(MgTi)O3-PT,0.1,0.9,1.0205,0.0783,788
Bi(MgTi)O3-PT,0.15,0.85,1.017,,793
Bi(MgTi)O3-PT,0.36,0.64,1.0028,0.0849,796
Bi(MgTi)O3-PT,0.5,0.5,0.9934,0.0884,796
Bi(MgTi)O3-PT,0.55,0.45,0.9899,0.0897,776
Bi(MgTi)O3-PT,0.58,0.42,0.9877,,751
Bi(MgTi)O3-PT,0.6,0.4,0.9863,0.091,741
Bi(MgTi)O3-PT,0.05,0.95,1.0243,0.077,772
Bi(MgTi)O3-PT,0.1,0.9,1.021,0.0783,773
Bi(MgTi)O3-PT,0.15,0.85,1.0181,,772
Bi(MgTi)O3-PT,0.2,0.8,1.0149,,763
Bi(MgTi)O3-PT,0.3,0.7,1.009,0.083,738
Bi(MgTi)O3-PT,0.4,0.6,1.003,0.0853,746
Bi(MgTi)O3-PT,0.5,0.5,0.9969,0.0877,700
Bi(MgTi)O3-PT,0.6,0.4,0.9907,0.0902,680
BiLuO3-PT,0.1,0.9,1.0118,0.0744,837
BiGaO3-PT,0.15,0.85,1.0201,0.0759,757
BiGaO3-PT,0.2,0.8,1.0177,0.0759,768
Bi(GaSc)O3-PT,0.39,0.61,0.9914,,750
Bi(GaSc)O3-PT,0.37,0.63,0.9936,,743
Bi(GaSc)O3-PT,0.34,0.66,0.9958,,759
Bi(GaSc)O3-PT,0.32,0.68,0.998,,762
Bi(GaSc)O3-PT,0.3,0.7,1.0,,767
Bi(GaSc)O3-PT,0.18,0.82,1.0109,0.0773,795
Bi(NiNb)O3-PT,0.33,0.68,1.0034,0.0798,573
Bi(NiNb)O3-PT,0.3,0.7,1.0053,0.0795,610
Bi(NiNb)O3-PT,0.25,0.75,1.009,0.0789,663
Bi(NiNb)O3-PT,0.2,0.8,1.0126,,702
Bi(NiNb)O3-PT,0.15,0.85,1.0163,,723
Bi(NiNb)O3-PT,0.1,0.9,1.0199,,747
Bi(NiNb)O3-PT,0.05,0.95,1.0235,0.0764,768
Bi(NiNb)O3-PT,0.0,1.0,1.0271,,764
Bi(ScFe)O3-PT,0.55,0.45,0.9814,0.0952,703
Bi(ScFe)O3-PT,0.5,0.5,0.9856,0.0935,698
Bi(ScFe)O3-PT,0.47,0.53,0.9881,0.0924,701
Bi(ScFe)O3-PT,0.45,0.55,0.9897,0.0917,713
Bi(ZnW)O3-PT,0.05,0.95,1.0228,,774
Bi(ZnW)O3-PT,0.1,0.9,1.0185,,773
Bi(ZnW)O3-PT,0.15,0.85,1.0141,,788
Bi(ZnW)O3-PT,0.2,0.8,1.0097,0.0925,803
Bi(MgW)O3-PT,0.45,0.55,0.9909,0.0736,516
Bi(MgW)O3-PT,0.4,0.6,0.9949,,518
Bi(MgW)O3-PT,0.35,0.65,0.999,0.0741,519
Bi(MgW)O3-PT,0.3,0.7,1.0029,0.0743,563
Bi(MgW)O3-PT,0.25,0.75,1.007,0.0746,635
Bi(MgW)O3-PT,0.2,0.8,1.0109,,670
Bi(MgW)O3-PT,0.17,0.83,1.0132,,689
Bi(MgW)O3-PT,0.15,0.85,1.0149,0.0751,704
Bi(MgW)O3-PT,0.13,0.87,1.0168,,720
Bi(MgW)O3-PT,0.1,0.9,1.0192,0.0753,743
Bi(MgW)O3-PT,0.05,0.95,1.0232,,756
Bi(ScIn)O3-PT,0.55,0.45,0.9625,,652
Bi(ScIn)O3-PT,0.53,0.47,0.9648,,667
Bi(ScIn)O3-PT,0.5,0.5,0.9683,0.0773,687
BiMnO3-PT,0.05,0.95,1.0242,,764
BiMnO3-PT,0.1,0.9,1.0212,,747
BiMnO3-PT,0.15,0.85,1.0183,,744
BiMnO3-PT,0.2,0.8,1.0152,,725
BiMnO3-PT,0.25,0.75,1.0123,0.0831,684
BiAlO3-PT,0.05,0.95,1.027,0.0764,733
BiAlO3-PT,0.1,0.9,1.0269,0.0769,728
BiAlO3-PT,0.15,0.85,1.0267,0.0775,723
Bi(ZnZr)O3-PT,0.1,0.9,1.0173,,782
Bi(ZnZr)O3-PT,0.2,0.8,1.0074,,763
Bi(ZnZr)O3-PT,0.3,0.7,0.9975,0.0967,671
Bi(MgZr)O3-PT,0.2,0.8,1.0083,0.0779,735
Bi(MgZr)O3-PT,0.35,0.65,0.9942,0.0794,629
Bi(MgZr)O3-PT,0.4,0.6,0.9894,0.0799,582
Bi(ScIn)O3-PT,0.35,0.65,0.986,0.0769,743
Bi(ScIn)O3-PT,0.33,0.67,0.9857,0.0774,762
Bi(ScIn)O3-PT,0.31,0.69,0.9881,0.0772,784
Bi(ScIn)O3-PT,0.28,0.72,0.9917,0.0769,804
Bi(ScIn)O3-PT,0.35,0.65,0.9831,0.0773,749
Bi(ScIn)O3-PT,0.33,0.67,0.9854,,759
Bi(ScIn)O3-PT,0.3,0.7,0.9889,0.0767,773
Bi(ScIn)O3-PT,0.37,0.63,0.9808,0.0775,741
Bi(ScIn)O3-PT,0.31,0.69,0.9887,0.0776,776
Bi(ScIn)O3-PT,0.27,0.73,0.9943,0.078,778
Bi(ScIn)O3-PT,0.31,0.69,0.9899,0.0784,750
Bi(ScIn)O3-PT,0.35,0.65,0.9854,,728
Bi(ScIn)O3-PT,0.37,0.63,0.9831,,718
Bi(ScGa)O3-PT,0.25,0.75,1.0057,,798
Bi(ScFe)O3-PT,0.4,0.6,0.9842,,728
Bi(CoFe)O3-PT,0.2,0.8,1.0162,,898
