Compound,xBi(Me1Me2)O3,xPT,Tolerance_Factor,Ionic_Displacements,Ferroelectric_Tc_in_Kelvin
Bi(MgTi)O3-PT,0.1,0.9,1.0205,0.0783,788.0
Bi(MgTi)O3-PT,0.15,0.85,1.017,0.0796,793.0
Bi(MgTi)O3-PT,0.36,0.64,1.0028,0.0849,
Bi(MgTi)O3-PT,0.5,0.5,0.9934,0.0884,796.0
Bi(MgTi)O3-PT,0.55,0.45,0.9899,0.0897,776.0
Bi(MgTi)O3-PT,0.58,0.42,0.9877,0.0905,751.0
Bi(MgTi)O3-PT,0.6,0.4,0.9863,0.091,741.0
Bi(MgTi)O3-PT,0.05,0.95,1.0243,0.077,772.0
Bi(MgTi)O3-PT,0.1,0.9,1.021,0.0783,773.0
Bi(MgTi)O3-PT,0.15,0.85,1.0181,0.0794,772.0
Bi(MgTi)O3-PT,0.2,0.8,1.0149,0.0807,763.0
Bi(MgTi)O3-PT,0.3,0.7,1.009,0.083,
Bi(MgTi)O3-PT,0.4,0.6,1.003,0.0853,746.0
Bi(MgTi)O3-PT,0.5,0.5,0.9969,0.0877,700.0
Bi(MgTi)O3-PT,0.6,0.4,0.9907,0.0902,680.0
BiLuO3-PT,0.1,0.9,1.0118,0.0744,837.0
BiGaO3-PT,0.15,0.85,1.0201,0.0759,757.0
BiGaO3-PT,0.2,0.8,1.0177,0.0759,768.0
Bi(GaSc)O3-PT,0.39,0.61,0.9914,0.0791,750.0
Bi(GaSc)O3-PT,0.37,0.63,0.9936,0.0789,743.0
Bi(GaSc)O3-PT,0.34,0.66,0.9958,0.0787,759.0
Bi(GaSc)O3-PT,0.32,0.68,0.998,0.0785,762.0
Bi(GaSc)O3-PT,0.3,0.7,1.0,0.0783,767.0
Bi(GaSc)O3-PT,0.18,0.82,1.0109,0.0773,795.0
Bi(NiNb)O3-PT,0.33,0.68,1.0034,0.0798,573.0
Bi(NiNb)O3-PT,0.3,0.7,1.0053,0.0795,610.0
Bi(NiNb)O3-PT,0.25,0.75,1.009,0.0789,663.0
Bi(NiNb)O3-PT,0.2,0.8,1.0126,0.0783,702.0
Bi(NiNb)O3-PT,0.15,0.85,1.0163,0.0777,
Bi(NiNb)O3-PT,0.1,0.9,1.0199,0.077,747.0
Bi(NiNb)O3-PT,0.05,0.95,1.0235,0.0764,768.0
Bi(NiNb)O3-PT,0.0,1.0,1.0271,0.0758,764.0
Bi(ScFe)O3-PT,0.55,0.45,0.9814,0.0952,703.0
Bi(ScFe)O3-PT,0.5,0.5,0.9856,0.0935,698.0
Bi(ScFe)O3-PT,0.47,0.53,0.9881,0.0924,701.0
Bi(ScFe)O3-PT,0.45,0.55,0.9897,0.0917,713.0
Bi(ZnW)O3-PT,0.05,0.95,1.0228,0.08,774.0
Bi(ZnW)O3-PT,0.1,0.9,1.0185,0.0841,773.0
Bi(ZnW)O3-PT,0.15,0.85,1.0141,0.0883,788.0
Bi(ZnW)O3-PT,0.2,0.8,1.0097,0.0925,803.0
Bi(MgW)O3-PT,0.45,0.55,0.9909,0.0736,516.0
Bi(MgW)O3-PT,0.4,0.6,0.9949,0.0738,518.0
Bi(MgW)O3-PT,0.35,0.65,0.999,0.0741,
Bi(MgW)O3-PT,0.3,0.7,1.0029,0.0743,563.0
Bi(MgW)O3-PT,0.25,0.75,1.007,0.0746,635.0
Bi(MgW)O3-PT,0.2,0.8,1.0109,0.0748,670.0
Bi(MgW)O3-PT,0.17,0.83,1.0132,0.075,
Bi(MgW)O3-PT,0.15,0.85,1.0149,0.0751,704.0
Bi(MgW)O3-PT,0.13,0.87,1.0168,0.0752,720.0
Bi(MgW)O3-PT,0.1,0.9,1.0192,0.0753,743.0
Bi(MgW)O3-PT,0.05,0.95,1.0232,0.0756,
Bi(ScIn)O3-PT,0.55,0.45,0.9625,0.0774,652.0
Bi(ScIn)O3-PT,0.53,0.47,0.9648,0.0774,667.0
Bi(ScIn)O3-PT,0.5,0.5,0.9683,0.0773,
BiMnO3-PT,0.05,0.95,1.0242,0.0773,
BiMnO3-PT,0.1,0.9,1.0212,0.0787,747.0
BiMnO3-PT,0.15,0.85,1.0183,0.0802,744.0
BiMnO3-PT,0.2,0.8,1.0152,0.0817,725.0
BiMnO3-PT,0.25,0.75,1.0123,0.0831,
BiAlO3-PT,0.05,0.95,1.027,0.0764,733.0
BiAlO3-PT,0.1,0.9,1.0269,0.0769,728.0
BiAlO3-PT,0.15,0.85,1.0267,0.0775,723.0
Bi(ZnZr)O3-PT,0.1,0.9,1.0173,0.0828,782.0
Bi(ZnZr)O3-PT,0.2,0.8,1.0074,0.0897,763.0
Bi(ZnZr)O3-PT,0.3,0.7,0.9975,0.0967,671.0
Bi(MgZr)O3-PT,0.2,0.8,1.0083,0.0779,735.0
Bi(MgZr)O3-PT,0.35,0.65,0.9942,0.0794,629.0
Bi(MgZr)O3-PT,0.4,0.6,0.9894,0.0799,582.0
Bi(ScIn)O3-PT,0.35,0.65,0.986,0.0769,
Bi(ScIn)O3-PT,0.33,0.67,0.9857,0.0774,762.0
Bi(ScIn)O3-PT,0.31,0.69,0.9881,0.0772,784.0
Bi(ScIn)O3-PT,0.28,0.72,0.9917,0.0769,
Bi(ScIn)O3-PT,0.35,0.65,0.9831,0.0773,749.0
Bi(ScIn)O3-PT,0.33,0.67,0.9854,0.077,759.0
Bi(ScIn)O3-PT,0.3,0.7,0.9889,0.0767,
Bi(ScIn)O3-PT,0.37,0.63,0.9808,0.0775,741.0
Bi(ScIn)O3-PT,0.31,0.69,0.9887,0.0776,776.0
Bi(ScIn)O3-PT,0.27,0.73,0.9943,0.078,778.0
Bi(ScIn)O3-PT,0.31,0.69,0.9899,0.0784,
Bi(ScIn)O3-PT,0.35,0.65,0.9854,0.0789,728.0
Bi(ScIn)O3-PT,0.37,0.63,0.9831,0.0791,718.0
Bi(ScGa)O3-PT,0.25,0.75,1.0057,0.0771,798.0
Bi(ScFe)O3-PT,0.4,0.6,0.9842,0.0839,
Bi(CoFe)O3-PT,0.2,0.8,1.0162,0.089,898.0
